X [mm], Y [mm], Z [mm], Heading [degrees], Filename
6510.25371,15391.28204,0,-131.580275510586,unwrapped_0_horizon.png
6515.05245,15368.00692,0,-131.580275510586,unwrapped_1_horizon.png
6517.70916,15385.45644,0,-131.580275510586,unwrapped_2_horizon.png
6502.13568,15471.99168,0,-131.580275510586,unwrapped_3_horizon.png
6525.24726,15348.24872,0,-131.580275510586,unwrapped_4_horizon.png
6504.63795,15492.07636,0,-131.580275510586,unwrapped_5_horizon.png
6510.42276,15427.68192,0,-131.580275510586,unwrapped_6_horizon.png
6511.74459,15420.57328,0,-131.580275510586,unwrapped_7_horizon.png
6511.67934,15373.76036,0,-131.580275510586,unwrapped_8_horizon.png
6535.65945,15269.83368,0,-131.580275510586,unwrapped_9_horizon.png
6516.60744,15345.12076,0,-131.580275510586,unwrapped_10_horizon.png
6504.60636,15446.71896,0,-131.580275510586,unwrapped_11_horizon.png
6506.64564,15430.02888,0,-131.580275510586,unwrapped_12_horizon.png
6507.99018,15414.155,0,-131.580275510586,unwrapped_13_horizon.png
6509.63832,15408.33116,0,-131.580275510586,unwrapped_14_horizon.png
6508.8441,15388.66668,0,-131.580275510586,unwrapped_15_horizon.png
6515.34807,15397.2854,0,-131.580275510586,unwrapped_16_horizon.png
6514.56174,15307.9346,0,-131.580275510586,unwrapped_17_horizon.png
6523.3245,15265.32632,0,-131.580275510586,unwrapped_18_horizon.png
6521.4957,15267.6152,0,-131.580275510586,unwrapped_19_horizon.png
6508.3233,15339.2186,0,-131.580275510586,unwrapped_20_horizon.png
6515.07528,15362.31244,0,-131.580275510586,unwrapped_21_horizon.png
6513.04857,15384.14612,0,-131.580275510586,unwrapped_22_horizon.png
6514.05324,15403.0538,0,-131.580275510586,unwrapped_23_horizon.png
6520.43421,15285.21256,0,-131.580275510586,unwrapped_24_horizon.png
6510.28704,15338.0482,0,-131.580275510586,unwrapped_25_horizon.png
6506.47335,15377.64292,0,-131.580275510586,unwrapped_26_horizon.png
6503.41152,15329.68468,0,-131.580275510586,unwrapped_27_horizon.png
6516.59148,15235.9132,0,-131.580275510586,unwrapped_28_horizon.png
6510.73359,15275.53608,0,-131.580275510586,unwrapped_29_horizon.png
6502.7982,15401.63348,0,-131.580275510586,unwrapped_30_horizon.png
6506.11917,15390.00032,0,-131.580275510586,unwrapped_31_horizon.png
6497.5203,15371.06888,0,-131.580275510586,unwrapped_32_horizon.png
6511.64133,15323.42744,0,-131.580275510586,unwrapped_33_horizon.png
6499.98402,15340.41496,0,-131.580275510586,unwrapped_34_horizon.png
6508.75272,15297.58316,0,-131.580275510586,unwrapped_35_horizon.png
6501.9051,15365.69296,0,-131.580275510586,unwrapped_36_horizon.png
6516.18723,15298.413,0,-131.580275510586,unwrapped_37_horizon.png
6516.20463,15311.6086,0,-131.580275510586,unwrapped_38_horizon.png
6496.10652,15422.37244,0,-131.580275510586,unwrapped_39_horizon.png
6507.74517,15307.29308,0,-131.580275510586,unwrapped_40_horizon.png
6516.73035,15350.01708,0,-131.580275510586,unwrapped_41_horizon.png
6521.0655,15319.71912,0,-131.580275510586,unwrapped_42_horizon.png
6519.52146,15320.94144,0,-131.580275510586,unwrapped_43_horizon.png
6502.37685,15389.38476,0,-131.580275510586,unwrapped_44_horizon.png
6517.41858,15309.46668,0,-131.580275510586,unwrapped_45_horizon.png
6518.95815,15295.8918,0,-131.580275510586,unwrapped_46_horizon.png
6531.59202,15303.86328,0,-131.580275510586,unwrapped_47_horizon.png
6532.00395,15229.52968,0,-131.580275510586,unwrapped_48_horizon.png
6534.78249,15285.25392,0,-131.580275510586,unwrapped_49_horizon.png
6531.39321,15288.68372,0,-131.580275510586,unwrapped_50_horizon.png
6534.48081,15250.10408,0,-131.580275510586,unwrapped_51_horizon.png
6525.30222,15382.48028,0,-131.580275510586,unwrapped_52_horizon.png
6529.86798,15273.1548,0,-131.580275510586,unwrapped_53_horizon.png
6529.58694,15253.84056,0,-131.580275510586,unwrapped_54_horizon.png
6522.73371,15277.13812,0,-131.580275510586,unwrapped_55_horizon.png
6519.56865,15264.7398,0,-131.580275510586,unwrapped_56_horizon.png
6504.1365,15399.47528,0,-131.580275510586,unwrapped_57_horizon.png
6514.13007,15270.48708,0,-131.580275510586,unwrapped_58_horizon.png
6510.83373,15240.51208,0,-131.580275510586,unwrapped_59_horizon.png
6509.96586,15214.89572,0,-131.580275510586,unwrapped_60_horizon.png
6501.35247,15267.29312,0,-131.580275510586,unwrapped_61_horizon.png
6506.04933,15209.0292,0,-131.580275510586,unwrapped_62_horizon.png
6490.68639,15273.2494,0,-131.580275510586,unwrapped_63_horizon.png
6484.14231,15315.88012,0,-131.580275510586,unwrapped_64_horizon.png
6482.2065,15226.3366,0,-131.580275510586,unwrapped_65_horizon.png
6468.61473,15341.81724,0,-131.580275510586,unwrapped_66_horizon.png
6467.22717,15330.61308,0,-131.580275510586,unwrapped_67_horizon.png
6470.03115,15315.52504,0,-131.580275510586,unwrapped_68_horizon.png
6466.38183,15322.70408,0,-131.580275510586,unwrapped_69_horizon.png
6451.63611,15370.6478,0,-131.580275510586,unwrapped_70_horizon.png
6464.80089,15197.19276,0,-131.580275510586,unwrapped_71_horizon.png
6454.94484,15191.54888,0,-131.580275510586,unwrapped_72_horizon.png
6461.50197,15155.16088,0,-131.580275510586,unwrapped_73_horizon.png
6441.8016,15234.27112,0,-131.580275510586,unwrapped_74_horizon.png
6445.38024,15226.28116,0,-131.580275510586,unwrapped_75_horizon.png
6434.15925,15267.03484,0,-131.580275510586,unwrapped_76_horizon.png
6432.99453,15239.39536,0,-131.580275510586,unwrapped_77_horizon.png
6437.49414,15221.25812,0,-131.580275510586,unwrapped_78_horizon.png
6435.90591,15213.29588,0,-131.580275510586,unwrapped_79_horizon.png
6435.81051,15212.0344,0,-131.580275510586,unwrapped_80_horizon.png
6434.81835,15141.8346,0,-131.580275510586,unwrapped_81_horizon.png
6429.7611,15179.56856,0,-131.580275510586,unwrapped_82_horizon.png
6422.45346,15197.13292,0,-131.580275510586,unwrapped_83_horizon.png
6412.73877,15170.20492,0,-131.580275510586,unwrapped_84_horizon.png
6412.15596,15207.30748,0,-131.580275510586,unwrapped_85_horizon.png
6403.20759,15214.9494,0,-131.580275510586,unwrapped_86_horizon.png
6409.73265,15184.3342,0,-131.580275510586,unwrapped_87_horizon.png
6392.30025,15193.90376,0,-131.580275510586,unwrapped_88_horizon.png
6392.31885,15169.70332,0,-131.580275510586,unwrapped_89_horizon.png
6383.7807,15204.8602,0,-131.580275510586,unwrapped_90_horizon.png
6382.78749,15224.60388,0,-131.580275510586,unwrapped_91_horizon.png
6380.59029,15203.20184,0,-131.580275510586,unwrapped_92_horizon.png
6387.27558,15140.75,0,-131.580275510586,unwrapped_93_horizon.png
6377.72835,15163.68984,0,-131.580275510586,unwrapped_94_horizon.png
6383.7048,15107.52384,0,-131.580275510586,unwrapped_95_horizon.png
6367.59183,15169.67208,0,-131.580275510586,unwrapped_96_horizon.png
6366.767205,15201.8308,0,-131.580275510586,unwrapped_97_horizon.png
6338.17521,15342.04164,0,-131.580275510586,unwrapped_98_horizon.png
6336.64896,15291.96392,0,-131.580275510586,unwrapped_99_horizon.png
6354.7155,15157.162,0,-131.580275510586,unwrapped_100_horizon.png
6350.39403,15206.75968,0,-131.580275510586,unwrapped_101_horizon.png
6346.785375,15178.54556,0,-131.580275510586,unwrapped_102_horizon.png
6332.62431,15231.62276,0,-131.580275510586,unwrapped_103_horizon.png
6332.03841,15272.63296,0,-131.580275510586,unwrapped_104_horizon.png
6328.04076,15258.681,0,-131.580275510586,unwrapped_105_horizon.png
6332.22867,15198.44764,0,-131.580275510586,unwrapped_106_horizon.png
6323.645868,15231.64432,0,-131.580275510586,unwrapped_107_horizon.png
6326.83257,15202.66636,0,-131.580275510586,unwrapped_108_horizon.png
6319.93611,15175.65828,0,-131.580275510586,unwrapped_109_horizon.png
6324.18315,15121.1018,0,-131.580275510586,unwrapped_110_horizon.png
6318.44976,15156.82012,0,-131.580275510586,unwrapped_111_horizon.png
6312.30933,15196.55652,0,-131.580275510586,unwrapped_112_horizon.png
6304.46553,15181.63832,0,-131.580275510586,unwrapped_113_horizon.png
6298.51008,15227.3794,0,-131.580275510586,unwrapped_114_horizon.png
6297.50307,15206.83052,0,-131.580275510586,unwrapped_115_horizon.png
6284.15415,15207.45268,0,-131.580275510586,unwrapped_116_horizon.png
6298.11891,15111.1292,0,-131.580275510586,unwrapped_117_horizon.png
6295.42251,15131.05768,0,-131.580275510586,unwrapped_118_horizon.png
6285.36321,15188.53444,0,-131.580275510586,unwrapped_119_horizon.png
6282.42903,15197.69612,0,-131.580275510586,unwrapped_120_horizon.png
6275.50167,15204.4422,0,-131.580275510586,unwrapped_121_horizon.png
6273.48993,15214.1794,0,-131.580275510586,unwrapped_122_horizon.png
6268.51455,15207.04348,0,-131.580275510586,unwrapped_123_horizon.png
6258.04587,15254.3888,0,-131.580275510586,unwrapped_124_horizon.png
6269.58867,15159.24408,0,-131.580275510586,unwrapped_125_horizon.png
6263.12196,15134.80648,0,-131.580275510586,unwrapped_126_horizon.png
6264.12294,15110.1876,0,-131.580275510586,unwrapped_127_horizon.png
6258.05943,15135.22976,0,-131.580275510586,unwrapped_128_horizon.png
6250.519215,15105.56408,0,-131.580275510586,unwrapped_129_horizon.png
6248.39034,15117.23464,0,-131.580275510586,unwrapped_130_horizon.png
