X [mm], Y [mm], Z [mm], Heading [degrees], Filename
6300, 8450, 10, 193.281, ant1_route2_0000.png
6297.7, 8440.27, 10, 193.281, ant1_route2_0001.png
6295.55, 8430.5, 10, 192.403, ant1_route2_0002.png
6293.56, 8420.7, 10, 191.487, ant1_route2_0003.png
6291.74, 8410.87, 10, 190.51, ant1_route2_0004.png
6290.09, 8401.01, 10, 189.482, ant1_route2_0005.png
6288.63, 8391.11, 10, 188.394, ant1_route2_0006.png
6287.37, 8381.19, 10, 187.237, ant1_route2_0007.png
6286.32, 8371.25, 10, 186.017, ant1_route2_0008.png
6285.5, 8361.28, 10, 184.726, ant1_route2_0009.png
6284.91, 8351.3, 10, 183.351, ant1_route2_0010.png
6284.58, 8341.3, 10, 181.907, ant1_route2_0011.png
6284.51, 8331.3, 10, 180.374, ant1_route2_0012.png
6284.73, 8321.31, 10, 178.751, ant1_route2_0013.png
6285.25, 8311.32, 10, 177.045, ant1_route2_0014.png
6286.07, 8301.35, 10, 175.257, ant1_route2_0015.png
6287.23, 8291.42, 10, 173.371, ant1_route2_0016.png
6288.72, 8281.53, 10, 171.413, ant1_route2_0017.png
6290.56, 8271.71, 10, 169.37, ant1_route2_0018.png
6292.77, 8261.95, 10, 167.257, ant1_route2_0019.png
6295.34, 8252.29, 10, 165.094, ant1_route2_0020.png
6298.28, 8242.73, 10, 162.885, ant1_route2_0021.png
6301.59, 8233.29, 10, 160.655, ant1_route2_0022.png
6305.27, 8223.99, 10, 158.423, ant1_route2_0023.png
6309.3, 8214.84, 10, 156.216, ant1_route2_0024.png
6313.67, 8205.85, 10, 154.056, ant1_route2_0025.png
6318.37, 8197.02, 10, 151.964, ant1_route2_0026.png
6323.38, 8188.36, 10, 149.978, ant1_route2_0027.png
6328.66, 8179.87, 10, 148.11, ant1_route2_0028.png
6334.19, 8171.54, 10, 146.393, ant1_route2_0029.png
6339.95, 8163.37, 10, 144.831, ant1_route2_0030.png
6345.9, 8155.33, 10, 143.461, ant1_route2_0031.png
6352.02, 8147.42, 10, 142.294, ant1_route2_0032.png
6358.27, 8139.61, 10, 141.338, ant1_route2_0033.png
6364.61, 8131.88, 10, 140.609, ant1_route2_0034.png
6371.02, 8124.21, 10, 140.122, ant1_route2_0035.png
6377.47, 8116.56, 10, 139.889, ant1_route2_0036.png
6383.9, 8108.91, 10, 139.922, ant1_route2_0037.png
6390.3, 8101.22, 10, 140.232, ant1_route2_0038.png
6396.62, 8093.47, 10, 140.837, ant1_route2_0039.png
6402.81, 8085.62, 10, 141.744, ant1_route2_0040.png
6408.83, 8077.64, 10, 142.966, ant1_route2_0041.png
6414.64, 8069.49, 10, 144.518, ant1_route2_0042.png
6420.17, 8061.17, 10, 146.397, ant1_route2_0043.png
6425.38, 8052.63, 10, 148.603, ant1_route2_0044.png
6430.22, 8043.88, 10, 151.128, ant1_route2_0045.png
6434.61, 8034.89, 10, 153.933, ant1_route2_0046.png
6438.52, 8025.69, 10, 156.991, ant1_route2_0047.png
6441.91, 8016.28, 10, 160.234, ant1_route2_0048.png
6444.73, 8006.69, 10, 163.609, ant1_route2_0049.png
6446.98, 7996.94, 10, 167.029, ant1_route2_0050.png
6448.65, 7987.08, 10, 170.429, ant1_route2_0051.png
6449.74, 7977.14, 10, 173.747, ant1_route2_0052.png
6450.28, 7967.16, 10, 176.927, ant1_route2_0053.png
6450.29, 7957.16, 10, 179.934, ant1_route2_0054.png
6449.82, 7947.17, 10, 182.75, ant1_route2_0055.png
6448.9, 7937.21, 10, 185.277, ant1_route2_0056.png
6447.61, 7927.3, 10, 187.421, ant1_route2_0057.png
6446, 7917.43, 10, 189.241, ant1_route2_0058.png
6444.13, 7907.6, 10, 190.789, ant1_route2_0059.png
6442.04, 7897.82, 10, 192.118, ant1_route2_0060.png
6439.74, 7888.09, 10, 193.264, ant1_route2_0061.png
6437.28, 7878.4, 10, 194.247, ant1_route2_0062.png
6434.68, 7868.74, 10, 195.101, ant1_route2_0063.png
6431.95, 7859.12, 10, 195.846, ant1_route2_0064.png
6429.11, 7849.53, 10, 196.48, ant1_route2_0065.png
6426.19, 7839.97, 10, 197.025, ant1_route2_0066.png
6423.18, 7830.43, 10, 197.502, ant1_route2_0067.png
6420.11, 7820.92, 10, 197.898, ant1_route2_0068.png
6416.98, 7811.42, 10, 198.235, ant1_route2_0069.png
6413.8, 7801.94, 10, 198.51, ant1_route2_0070.png
6410.59, 7792.47, 10, 198.727, ant1_route2_0071.png
6407.35, 7783.01, 10, 198.898, ant1_route2_0072.png
6404.1, 7773.55, 10, 199.02, ant1_route2_0073.png
6400.82, 7764.1, 10, 199.098, ant1_route2_0074.png
