X [mm], Y [mm], Z [mm], Heading [degrees], Filename
6300, 8450, 10, 219.96, ant1_route1_0000.png
6293.58, 8442.33, 10, 219.96, ant1_route1_0001.png
6287.26, 8434.58, 10, 219.161, ant1_route1_0002.png
6281.06, 8426.74, 10, 218.315, ant1_route1_0003.png
6274.99, 8418.79, 10, 217.415, ant1_route1_0004.png
6269.04, 8410.75, 10, 216.469, ant1_route1_0005.png
6263.24, 8402.61, 10, 215.46, ant1_route1_0006.png
6257.59, 8394.35, 10, 214.389, ant1_route1_0007.png
6252.11, 8385.99, 10, 213.248, ant1_route1_0008.png
6246.8, 8377.51, 10, 212.035, ant1_route1_0009.png
6241.69, 8368.92, 10, 210.744, ant1_route1_0010.png
6236.79, 8360.21, 10, 209.359, ant1_route1_0011.png
6232.11, 8351.37, 10, 207.89, ant1_route1_0012.png
6227.68, 8342.4, 10, 206.311, ant1_route1_0013.png
6223.51, 8333.31, 10, 204.639, ant1_route1_0014.png
6219.62, 8324.1, 10, 202.84, ant1_route1_0015.png
6216.05, 8314.76, 10, 200.931, ant1_route1_0016.png
6212.81, 8305.3, 10, 198.895, ant1_route1_0017.png
6209.93, 8295.72, 10, 196.728, ant1_route1_0018.png
6207.44, 8286.04, 10, 194.438, ant1_route1_0019.png
6205.35, 8276.26, 10, 192.008, ant1_route1_0020.png
6203.71, 8266.39, 10, 189.471, ant1_route1_0021.png
6202.52, 8256.46, 10, 186.815, ant1_route1_0022.png
6201.81, 8246.49, 10, 184.053, ant1_route1_0023.png
6201.59, 8236.49, 10, 181.221, ant1_route1_0024.png
6201.88, 8226.5, 10, 178.328, ant1_route1_0025.png
6202.68, 8216.53, 10, 175.405, ant1_route1_0026.png
6203.99, 8206.61, 10, 172.489, ant1_route1_0027.png
6205.79, 8196.78, 10, 169.596, ant1_route1_0028.png
6208.08, 8187.04, 10, 166.776, ant1_route1_0029.png
6210.82, 8177.43, 10, 164.037, ant1_route1_0030.png
6214.01, 8167.95, 10, 161.416, ant1_route1_0031.png
6217.6, 8158.62, 10, 158.924, ant1_route1_0032.png
6221.58, 8149.44, 10, 156.576, ant1_route1_0033.png
6225.9, 8140.42, 10, 154.395, ant1_route1_0034.png
6230.53, 8131.56, 10, 152.365, ant1_route1_0035.png
6235.46, 8122.86, 10, 150.502, ant1_route1_0036.png
6240.63, 8114.3, 10, 148.805, ant1_route1_0037.png
6246.04, 8105.89, 10, 147.268, ant1_route1_0038.png
6251.65, 8097.61, 10, 145.885, ant1_route1_0039.png
6257.43, 8089.45, 10, 144.654, ant1_route1_0040.png
6263.37, 8081.4, 10, 143.577, ant1_route1_0041.png
6269.44, 8073.46, 10, 142.636, ant1_route1_0042.png
6275.61, 8065.59, 10, 141.841, ant1_route1_0043.png
6281.88, 8057.8, 10, 141.176, ant1_route1_0044.png
6288.22, 8050.07, 10, 140.647, ant1_route1_0045.png
6294.62, 8042.38, 10, 140.25, ant1_route1_0046.png
6301.05, 8034.72, 10, 139.979, ant1_route1_0047.png
6307.5, 8027.08, 10, 139.848, ant1_route1_0048.png
6313.94, 8019.44, 10, 139.843, ant1_route1_0049.png
6320.38, 8011.78, 10, 139.981, ant1_route1_0050.png
6326.77, 8004.09, 10, 140.246, ant1_route1_0051.png
6333.11, 7996.35, 10, 140.677, ant1_route1_0052.png
6339.37, 7988.56, 10, 141.251, ant1_route1_0053.png
6345.52, 7980.68, 10, 141.999, ant1_route1_0054.png
6351.56, 7972.7, 10, 142.918, ant1_route1_0055.png
6357.43, 7964.61, 10, 144.031, ant1_route1_0056.png
6363.12, 7956.38, 10, 145.355, ant1_route1_0057.png
6368.58, 7948, 10, 146.898, ant1_route1_0058.png
6373.78, 7939.46, 10, 148.697, ant1_route1_0059.png
6378.67, 7930.74, 10, 150.754, ant1_route1_0060.png
6383.19, 7921.82, 10, 153.095, ant1_route1_0061.png
